OEM,MODEL,BODY TYPE,PRICE IN LAKHS,YEAR,MONTH,SALE
Datsun,Go,Hatchback,4.03,2016,1,673
Datsun,Go Plus,MUV,4.26,2016,1,740
Datsun,RediGo,Hatchback,3.98,2016,1,
Fiat,"Evo, Avventura",Hatchback,6.57,2016,1,520
Fiat,Linea,Sedan,7.19,2016,1,93
Ford,Aspire,Sedan,7.28,2016,1,1748
Ford,EcoSport,SUV,8.19,2016,1,3047
Ford,Endeavour,SUV,29.99,2016,1,480
Ford,Figo,Hatchback,5.82,2016,1,1770
Ford,Mustang,Others,74.61,2016,1,
Honda,Amaze,Sedan,6.38,2016,1,3471
Honda,Brio,Hatchback,4.73,2016,1,396
Honda,BRV,SUV,13.9,2016,1,
Honda,City,Sedan,15.18,2016,1,8037
Honda,CRV,SUV,28.34,2016,1,81
Honda,Jazz,Hatchback,7.81,2016,1,4709
Hyundai,Creta,SUV,10.22,2016,1,6589
Hyundai,Elantra,Sedan,17.86,2016,1,42
Hyundai,Elite i20,Hatchback,5.57,2016,1,9604
Hyundai,Eon,Hatchback,3.33,2016,1,5431
Hyundai,Grand i10,Hatchback,5,2016,1,9934
Hyundai,Tucson,SUV,23,2016,1,
Hyundai,Verna,Sedan,8,2016,1,1224
Hyundai,Xcent,Sedan,6,2016,1,3708
Mahindra,Bolero,MUV,8.99,2016,1,6160
Mahindra,KUV100,Hatchback,6.19,2016,1,3413
Mahindra,Scorpio,SUV,13.18,2016,1,4013
Mahindra,TUV300,SUV,15,2016,1,3816
Mahindra,"Verito, Vibe",Sedan,10,2016,1,293
Mahindra,XUV500,SUV,13,2016,1,2493
Mahindra,Xylo,MUV,8.86,2016,1,500
Maruti Suzuki,Alto,Hatchback,3.25,2016,1,21462
Maruti Suzuki,Baleno,Hatchback,6.03,2016,1,7698
Maruti Suzuki,Celerio,Hatchback,5.14,2016,1,7141
Maruti Suzuki,Ciaz,Sedan,8.67,2016,1,5431
Maruti Suzuki,Dzire,Sedan,6.09,2016,1,17587
